COUNTIES,WHITE,BLACK(NH),HISPANIC/LATINO,ASIAN,MULTI,INDIAN/ALAS,HAW/PACISL
Alachua,"163,205","53,166","25,165","15,620","6,204",636,131
Baker,22719,3799,682,172,432,70,5
Bay,140824,20516,11694,4013,5335,1163,220
Bradford,19872,5104,1023,158,495,92,12
Brevard,434016,57377,57346,13684,12675,1862,420
Broward,722559,534547,552008,69539,30122,3856,1149
Calhoun,11093,1837,847,98,313,150,8
Charlotte,150122,9861,12645,2441,2453,446,54
Citrus,126532,3955,7750,2300,1986,431,34
Clay,153022,21812,19958,6135,5445,805,167
Collier,232718,24325,99963,4855,3203,731,99
Columbia,50458,12340,4160,661,1314,327,40
DeSoto,19977,4351,11256,197,345,98,4
Dixie,13849,1540,670,67,256,70,3
Duval,498382,272132,86326,43818,22652,2971,757
Escambia,201742,70698,17331,9812,9464,2336,481
Flagler,80988,10962,10937,2520,1822,316,63
Franklin,9249,1600,644,42,240,52,2
Gadsden,15083,25561,4599,288,411,115,12
Gilchrist,15246,893,981,85,252,70,1
Glades,8128,1726,2822,71,111,553,10
Gulf,12043,2867,745,71,281,72,3
Hamilton,7885,4721,1301,91,226,85,0
Hardee,12821,1849,11839,293,319,89,22
Hendry,13245,4499,21183,324,240,537,20
Hernando,144333,9054,23324,2395,2940,531,101
Highlands,69272,9797,19782,1439,1290,371,48
Hillsborough,696935,221581,391181,56768,27358,3255,1015
Holmes,16909,1256,538,110,418,164,31
Indian River,114593,13736,18348,2234,1964,290,51
Jackson,31691,12812,2317,281,831,333,60
Jefferson,8327,4755,587,87,190,33,4
Lafayette,6169,1241,1173,20,130,25,2
Lake,237821,33527,50118,6980,5270,1123,370
Lee,493313,58219,149452,11446,9234,1522,281
Leon,163473,89002,17957,9914,5738,735,141
Levy,31917,3603,3243,278,638,185,21
Liberty,5998,1544,556,24,116,69,0
Madison,9964,7011,963,71,233,96,4
Manatee,269465,31941,60034,7600,5528,775,195
Marion,247790,43542,44141,5775,5437,1089,184
Martin,125131,8207,20879,2070,1756,294,88
Miami-Dade,381324,436320,1810054,40628,18670,2322,572
Monroe,51661,4771,18185,943,1085,258,65
Nassau,70078,4647,3278,705,1113,290,57
Okaloosa,149184,19076,17971,5294,7355,1062,340
Okeechobee,25906,3365,10337,377,399,349,34
Orange,547269,269770,410732,70638,24576,2888,1542
Osceola,112940,32134,178423,8928,4620,739,398
Palm Beach,811671,265368,312952,39539,18924,2392,623
Pasco,387297,26072,73792,12262,9240,1354,302
Pinellas,716602,100334,90546,32353,17672,2207,813
Polk,402520,97311,141653,11932,10614,1866,375
Putnam,51934,11504,7139,426,1034,316,57
Santa Rosa,140946,10513,9209,3353,4732,1233,238
Sarasota,345096,18212,37136,6822,5310,703,116
Seminole,280957,50614,94492,20015,8901,1013,179
St. Johns,196043,12291,15643,6521,4018,514,162
St. Lucie,178174,59787,56042,5652,5286,641,193
Sumter,104098,8844,6880,1022,982,345,78
Suwannee,33187,5717,3927,251,586,162,19
Taylor,16053,4351,928,196,385,175,10
Union,10602,3413,868,82,218,69,4
Volusia,383821,54694,70292,9597,8982,1477,237
Wakulla,25351,4394,1173,182,566,210,18
Walton,55370,3417,3970,740,1490,449,52
Washington,18989,3599,893,137,514,304,33